2026-05-11T04:06:50.042196483Z [inf]  [snapshot] received sha256:1c1610ff0ff401a86bffd7232edfc5e07bb58bd8813fb84bdfa56438e8968f79 md5:c9b14df2cb7ef8596581e9675cec9089
2026-05-11T04:06:50.042279358Z [inf]  receiving snapshot
2026-05-11T04:06:50.045843014Z [dbg]  root directory set as 'api'
2026-05-11T04:06:50.045846359Z [dbg]  found 'Dockerfile' at 'api/Dockerfile'
2026-05-11T04:06:50.045847632Z [dbg]  found 'railway.toml' at 'api/railway.toml'
2026-05-11T04:06:50.045848573Z [inf]  root directory sanitized to 'api'
2026-05-11T04:06:50.045917777Z [inf]  analyzing snapshot
2026-05-11T04:06:50.547097113Z [inf]  uploading snapshot
2026-05-11T04:06:50.561803749Z [inf]  unpacking archive
2026-05-11T04:06:51.283968325Z [inf]  scheduling build on Metal builder "builder-tecqxj"
2026-05-11T04:06:51.395556025Z [inf]  [internal] load build definition from api/Dockerfile
2026-05-11T04:06:51.395604818Z [inf]  [internal] load build definition from api/Dockerfile
2026-05-11T04:06:51.395745199Z [inf]  [internal] load build definition from api/Dockerfile
2026-05-11T04:06:51.522834583Z [inf]  [internal] load build definition from api/Dockerfile
2026-05-11T04:06:51.549109445Z [inf]  [internal] load metadata for docker.io/library/alpine:latest
2026-05-11T04:06:51.549285320Z [inf]  [internal] load metadata for docker.io/library/golang:1.22-alpine
2026-05-11T04:06:51.619015362Z [inf]  [internal] load metadata for docker.io/library/alpine:latest
2026-05-11T04:06:51.849676284Z [inf]  [internal] load metadata for docker.io/library/golang:1.22-alpine
2026-05-11T04:06:51.849877957Z [inf]  [internal] load .dockerignore
2026-05-11T04:06:51.849918908Z [inf]  [internal] load .dockerignore
2026-05-11T04:06:51.850112068Z [inf]  [internal] load .dockerignore
2026-05-11T04:06:51.972200649Z [inf]  [internal] load .dockerignore
2026-05-11T04:06:52.002088933Z [inf]  [stage-1 4/4] COPY --from=builder /app/migrations ./migrations
2026-05-11T04:06:52.002091196Z [inf]  [stage-1 3/4] COPY --from=builder /app/api .
2026-05-11T04:06:52.002091487Z [inf]  [builder 6/6] RUN go build -o api ./cmd/api
2026-05-11T04:06:52.002091877Z [inf]  [builder 5/6] COPY . .
2026-05-11T04:06:52.002092228Z [inf]  [builder 4/6] RUN go mod download
2026-05-11T04:06:52.002092849Z [inf]  [builder 3/6] COPY go.mod go.sum ./
2026-05-11T04:06:52.002093059Z [inf]  [internal] load build context
2026-05-11T04:06:52.002093279Z [inf]  [builder 2/6] WORKDIR /app
2026-05-11T04:06:52.002094041Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.002094261Z [inf]  [stage-1 2/4] WORKDIR /app
2026-05-11T04:06:52.002094481Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.002404577Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.002417757Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.002418768Z [inf]  [internal] load build context
2026-05-11T04:06:52.002423585Z [inf]  [internal] load build context
2026-05-11T04:06:52.044628138Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.044633567Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.044944213Z [inf]  [internal] load build context
2026-05-11T04:06:52.044946817Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.046661379Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.046876812Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.046884003Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.316521405Z [inf]  [internal] load build context
2026-05-11T04:06:52.424503010Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.492658871Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.492663678Z [inf]  [builder 2/6] WORKDIR /app
2026-05-11T04:06:52.492664760Z [err]  [builder 3/6] COPY go.mod go.sum ./
2026-05-11T04:06:52.549501217Z [inf]  [stage-1 1/4] FROM docker.io/library/alpine:latest@sha256:5b10f432ef3da1b8d4c7eb6c487f2f5a8f096bc91145e68878dd4a5019afde11
2026-05-11T04:06:52.549514306Z [inf]  [stage-1 2/4] WORKDIR /app
2026-05-11T04:06:52.852740665Z [inf]  [builder 1/6] FROM docker.io/library/golang:1.22-alpine@sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052
2026-05-11T04:06:52.890612618Z [inf]  [stage-1 2/4] WORKDIR /app
2026-05-11T04:06:53.035135079Z [err]  Build Failed: build daemon returned an error < failed to solve: failed to compute cache key: failed to calculate checksum of ref 4a3y2xe8vm4ole47senqrm0u5::qwqgurrmq0r32rczi14m6jghx: "/go.sum": not found >
